member;section;force;dcr_max;axial tension;tension (dcr);axial compression;compression (dcr);moment yy;moment zz;biaxial bending (dcr);shear y;shear z;shear y (dcr);shear z (dcr);bending and tension (dcr);bending and compression (dcr);compression perpendicular;compression perpendicular (dcr)
Column 1;2 x 3;1//1//1/nan;0.0016278147896523886;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;5.41;0.0;0.0016278147896523886;0.0;0.0;5.41;0.4214833408904285
Column 1;2 x 3;1//1//2/nan;0.038544006387148055;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;128.1;0.0;0.038544006387148055;0.0;0.0;128.1;9.980039920159683
Column 1;2 x 3;1//1//3/nan;0.019272003193574028;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;64.05;0.0;0.019272003193574028;0.0;0.0;64.05;4.990019960079842
Column 1;2 x 3;1//1//4/(C);0.05944382437037447;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;197.56;0.0;0.05944382437037447;0.0;0.0;197.56;15.391543221129954
Column 1;2 x 3;1//2//1/nan;0.02170032334019667;-0.0;-0.0;0;0.0;257.66;0.0;0.02170032334019667;0.0;7.47;0.0;0.002247648147634629;0.02170032334019667;0.02170032334019667;7.47;0.581974224852403
Column 1;2 x 3;1//2//2/nan;0.5137466908918717;-0.0;-0.0;0;0.0;6100.0;0.0;0.5137466908918717;0.0;176.9;0.0;0.053227437391775885;0.5137466908918717;0.5137466908918717;176.9;13.781959889744325
Column 1;2 x 3;1//2//3/nan;0.2568733454459359;-0.0;-0.0;0;0.0;3050.0;0.0;0.2568733454459359;0.0;88.45;0.0;0.026613718695887943;0.2568733454459359;0.2568733454459359;88.45;6.8909799448721625
Column 1;2 x 3;1//2//4/(C);0.7923203596780042;-0.0;-0.0;0;0.0;9407.66;0.0;0.7923203596780042;0.0;272.82;0.0;0.08208880423529846;0.7923203596780042;0.7923203596780042;272.82;21.254914059468888
Column 1;2 x 3;2//3//1/nan;0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;2 x 3;2//3//2/nan;0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;2 x 3;2//3//3/nan;0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;2 x 3;2//3//4/(C);0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;2 x 3;2//2//1/nan;0.02170032334019667;-0.0;-0.0;0;0.0;257.66;0.0;0.02170032334019667;0.0;5.15;0.0;0.001549583394955601;0.02170032334019667;0.02170032334019667;5.15;0.40122720990493654
Column 1;2 x 3;2//2//2/nan;0.5137466908918717;-0.0;-0.0;0;0.0;6100.0;0.0;0.5137466908918717;0.0;122.0;0.0;0.03670857751156958;0.5137466908918717;0.5137466908918717;122.0;9.504799923961603
Column 1;2 x 3;2//2//3/nan;0.2568733454459359;-0.0;-0.0;0;0.0;3050.0;0.0;0.2568733454459359;0.0;61.0;0.0;0.01835428875578479;0.2568733454459359;0.2568733454459359;61.0;4.752399961980801
Column 1;2 x 3;2//2//4/(C);0.7923203596780042;-0.0;-0.0;0;0.0;9407.66;0.0;0.7923203596780042;0.0;188.15;0.0;0.056612449662309966;0.7923203596780042;0.7923203596780042;188.15;14.658427095847342
Column 1;3 x 3;1//1//1/nan;0.0009665150313561056;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;5.41;0.0;0.0009665150313561056;0.0;0.0;5.41;0.4214833408904285
Column 1;3 x 3;1//1//2/nan;0.02288550379236915;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;128.1;0.0;0.02288550379236915;0.0;0.0;128.1;9.980039920159683
Column 1;3 x 3;1//1//3/nan;0.011442751896184575;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;64.05;0.0;0.011442751896184575;0.0;0.0;64.05;4.990019960079842
Column 1;3 x 3;1//1//4/(C);0.035294770719909836;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;197.56;0.0;0.035294770719909836;0.0;0.0;197.56;15.391543221129954
Column 1;3 x 3;1//2//1/nan;0.012884566983241771;-0.0;-0.0;0;0.0;257.66;0.0;0.012884566983241771;0.0;7.47;0.0;0.0013345410876580606;0.012884566983241771;0.012884566983241771;7.47;0.581974224852403
Column 1;3 x 3;1//2//2/nan;0.3050370977170488;-0.0;-0.0;0;0.0;6100.0;0.0;0.3050370977170488;0.0;176.9;0.0;0.03160379095136693;0.3050370977170488;0.3050370977170488;176.9;13.781959889744325
Column 1;3 x 3;1//2//3/nan;0.1525185488585244;-0.0;-0.0;0;0.0;3050.0;0.0;0.1525185488585244;0.0;88.45;0.0;0.015801895475683465;0.1525185488585244;0.1525185488585244;88.45;6.8909799448721625
Column 1;3 x 3;1//2//4/(C);0.470440213558815;-0.0;-0.0;0;0.0;9407.66;0.0;0.470440213558815;0.0;272.82;0.0;0.04874022751470845;0.470440213558815;0.470440213558815;272.82;21.254914059468888
Column 1;3 x 3;2//3//1/nan;0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;3 x 3;2//3//2/nan;0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;3 x 3;2//3//3/nan;0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;3 x 3;2//3//4/(C);0.0;-0.0;-0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Column 1;3 x 3;2//2//1/nan;0.012884566983241771;-0.0;-0.0;0;0.0;257.66;0.0;0.012884566983241771;0.0;5.15;0.0;0.000920065140754888;0.012884566983241771;0.012884566983241771;5.15;0.40122720990493654
Column 1;3 x 3;2//2//2/nan;0.3050370977170488;-0.0;-0.0;0;0.0;6100.0;0.0;0.3050370977170488;0.0;122.0;0.0;0.021795717897494432;0.3050370977170488;0.3050370977170488;122.0;9.504799923961603
Column 1;3 x 3;2//2//3/nan;0.1525185488585244;-0.0;-0.0;0;0.0;3050.0;0.0;0.1525185488585244;0.0;61.0;0.0;0.010897858948747216;0.1525185488585244;0.1525185488585244;61.0;4.752399961980801
Column 1;3 x 3;2//2//4/(C);0.470440213558815;-0.0;-0.0;0;0.0;9407.66;0.0;0.470440213558815;0.0;188.15;0.0;0.03361364198699653;0.470440213558815;0.470440213558815;188.15;14.658427095847342
