Member/Point/Case;FX (kgf);FY (kgf);FZ (kgf);MX (kgfcm);MY (kgfcm);MZ (kgfcm)
 1/ 3/ 11 (C) (CQC);183,57;1,38;15,19;0,0;-2099,0701;135,1403
 1/ 3/ 12 (C) (CQC);186,65;17,19;-0,68;0,0;62,5227;2252,3210
 1/ 3/ 13 (C) (CQC);167,65;1,25;15,26;0,0;-2105,0773;122,3483
 1/ 3/ 14 (C) (CQC);170,73;17,06;-0,61;0,0;56,5155;2239,5290
 1/ 2/3/ 11 (C) (CQC);179,89;1,38;15,19;0,0;-200,1704;-36,1879
 1/ 2/3/ 12 (C) (CQC);182,98;17,19;-0,68;0,0;-22,6135;103,3767
 1/ 2/3/ 13 (C) (CQC);164,32;1,25;15,26;0,0;-198,0370;-32,7102
 1/ 2/3/ 14 (C) (CQC);167,41;17,06;-0,61;0,0;-20,4800;106,8543
 1/ 102/ 11 (C) (CQC);176,21;1,38;15,19;0,0;-1914,4852;-205,8676
 1/ 102/ 12 (C) (CQC);179,30;17,19;-0,68;0,0;-108,8537;1630,8740
 1/ 102/ 13 (C) (CQC);160,99;1,25;15,26;0,0;-1904,2111;-186,1203
 1/ 102/ 14 (C) (CQC);164,08;17,06;-0,61;0,0;-98,5796;1650,6213
 9/ 1/ 11 (C) (CQC);183,57;-1,36;15,19;0,0;-2099,0703;-133,4896
 9/ 1/ 12 (C) (CQC);186,65;14,46;-0,68;0,0;62,5231;1983,6885
 9/ 1/ 13 (C) (CQC);167,65;-1,23;15,26;0,0;-2105,0775;-120,6976
 9/ 1/ 14 (C) (CQC);170,73;14,59;-0,61;0,0;56,5160;1996,4805
 9/ 2/3/ 11 (C) (CQC);179,89;-1,36;15,19;0,0;-200,1705;36,8429
 9/ 2/3/ 12 (C) (CQC);182,98;14,46;-0,68;0,0;-22,6136;176,4076
 9/ 2/3/ 13 (C) (CQC);164,32;-1,23;15,26;0,0;-198,0370;33,3652
 9/ 2/3/ 14 (C) (CQC);167,41;14,59;-0,61;0,0;-20,4801;172,9299
 9/ 104/ 11 (C) (CQC);176,21;-1,36;15,19;0,0;-1914,4854;208,8284
 9/ 104/ 12 (C) (CQC);179,30;14,46;-0,68;0,0;-108,8534;2045,5672
 9/ 104/ 13 (C) (CQC);160,99;-1,23;15,26;0,0;-1904,2113;189,0810
 9/ 104/ 14 (C) (CQC);164,08;14,59;-0,61;0,0;-98,5793;2025,8199
 10/ 104/ 11 (C) (CQC);166,48;4,94;49,25;0,0;-1914,6624;208,8280
 10/ 104/ 12 (C) (CQC);182,11;58,47;13,29;0,0;-108,8530;2045,7070
