member;section;force;dcr_max;axial tension;tension (dcr);axial compression;compression (dcr);moment yy;moment zz;biaxial bending (dcr);shear y;shear z;shear y (dcr);shear z (dcr);bending and tension (dcr);bending and compression (dcr);compression perpendicular;compression perpendicular (dcr)
Column 1;3 x 3;1//3//11/(C);0.11237382901265427;0;0.0;183.57;0.025489634254282682;2099.0701;135.1403;0.11172410755823717;1.38;15.19;0.0002465417270372321;0.002713745531663446;0.11172410755823717;0.11237382901265427;15.19;1.1834254987293176
Column 1;3 x 3;1//3//12/(C);0.11642796979224355;0;0.0;186.65;0.025917308021800204;62.5227;2252.321;0.11575626293714669;17.19;0.68;0.0030710523824420436;0.00012148432926472308;0.11575626293714669;0.11642796979224355;0.68;0.05297757334667123
Column 1;3 x 3;1//3//13/(C);0.11192674096546379;0;0.0;167.65;0.023279060754646686;2105.0773;122.3483;0.11138482629584526;1.25;15.26;0.00022331678173662328;0.002726251271440697;0.11138482629584526;0.11192674096546379;15.26;1.1888790724561809
Column 1;3 x 3;1//3//14/(C);0.11537819786976872;0;0.0;170.73;0.0237067345221642;56.5155;2239.529;0.11481618860806435;17.06;0.61;0.003047827437141434;0.00010897858948747215;0.11481618860806435;0.11537819786976872;0.61;0.047523999619808015
Column 1;3 x 3;1//2/3//11/(C);0.024978647415170845;0;0.0;179.89;0.024978647415170845;200.1704;36.1879;0.011819352434973038;1.38;15.19;0.0002465417270372321;0.002713745531663446;0.011819352434973038;0.01244328526166446;15.19;1.1834254987293176
Column 1;3 x 3;1//2/3//12/(C);0.025407709733881602;0;0.0;182.98;0.025407709733881602;22.6135;103.3767;0.0063002762211132;17.19;0.68;0.0030710523824420436;0.00012148432926472308;0.0063002762211132;0.006945827935034382;0.68;0.05297757334667123
Column 1;3 x 3;1//2/3//13/(C);0.0228166732072982;0;0.0;164.32;0.0228166732072982;198.037;32.7102;0.011538763310546788;1.25;15.26;0.00022331678173662328;0.002726251271440697;0.011538763310546788;0.012059363886795429;15.26;1.1888790724561809
Column 1;3 x 3;1//2/3//14/(C);0.023245735526008955;0;0.0;167.41;0.023245735526008955;20.48;106.8543;0.006367489395382296;17.06;0.61;0.003047827437141434;0.00010897858948747215;0.006367489395382296;0.0069078536155274504;0.61;0.047523999619808015
Column 1;3 x 3;1//102//11/(C);0.10662920153672394;0;0.0;176.21;0.024467660576059008;1914.4852;205.8676;0.1060305351226587;1.38;15.19;0.0002465417270372321;0.002713745531663446;0.1060305351226587;0.10662920153672394;15.19;1.1834254987293176
Column 1;3 x 3;1//102//12/(C);0.08761681212662954;0;0.0;179.3;0.024896722894769765;108.8537;1630.874;0.08699696531573059;17.19;0.68;0.0030710523824420436;0.00012148432926472308;0.08699696531573059;0.08761681212662954;0.68;0.05297757334667123
Column 1;3 x 3;1//102//13/(C);0.10502899663209048;0;0.0;160.99;0.022354285659949718;1904.2111;186.1203;0.10452928254472384;1.25;15.26;0.00022331678173662328;0.002726251271440697;0.10452928254472384;0.10502899663209048;15.26;1.1888790724561809
Column 1;3 x 3;1//102//14/(C);0.08798976387299373;0;0.0;164.08;0.022783347978660475;98.5796;1650.6213;0.087470682927877;17.06;0.61;0.003047827437141434;0.00010897858948747215;0.087470682927877;0.08798976387299373;0.61;0.047523999619808015
Column 1;3 x 3;9//1//11/(C);0.11229129397498508;0;0.0;183.57;0.025489634254282682;2099.0703;133.4896;0.11164157252056797;1.36;15.19;0.00024296865852944615;0.002713745531663446;0.11164157252056797;0.11229129397498508;15.19;1.1834254987293176
Column 1;3 x 3;9//1//12/(C);0.10299473108115567;0;0.0;186.65;0.025917308021800204;62.5231;1983.6885;0.10232302422605881;14.46;0.68;0.0025833285311292584;0.00012148432926472308;0.10232302422605881;0.10299473108115567;0.68;0.05297757334667123
Column 1;3 x 3;9//1//13/(C);0.11184420592779461;0;0.0;167.65;0.023279060754646686;2105.0775;120.6976;0.11130229125817608;1.23;15.26;0.0002197437132288373;0.002726251271440697;0.11130229125817608;0.11184420592779461;15.26;1.1888790724561809
Column 1;3 x 3;9//1//14/(C);0.10322431975076325;0;0.0;170.73;0.0237067345221642;56.516;1996.4805;0.10266231048905888;14.59;0.61;0.0026065534764298666;0.00010897858948747215;0.10266231048905888;0.10322431975076325;0.61;0.047523999619808015
Column 1;3 x 3;9//2/3//11/(C);0.024978647415170845;0;0.0;179.89;0.024978647415170845;200.1705;36.8429;0.011852111419024586;1.36;15.19;0.00024296865852944615;0.002713745531663446;0.011852111419024586;0.012476044245716007;15.19;1.1834254987293176
Column 1;3 x 3;9//2/3//12/(C);0.025407709733881602;0;0.0;182.98;0.025407709733881602;22.6136;176.4076;0.009952270365928577;14.46;0.68;0.0025833285311292584;0.00012148432926472308;0.009952270365928577;0.010597822079849759;0.68;0.05297757334667123
Column 1;3 x 3;9//2/3//13/(C);0.0228166732072982;0;0.0;164.32;0.0228166732072982;198.037;33.3652;0.011571517293990176;1.23;15.26;0.0002197437132288373;0.002726251271440697;0.011571517293990176;0.012092117870238814;15.26;1.1888790724561809
Column 1;3 x 3;9//2/3//14/(C);0.023245735526008955;0;0.0;167.41;0.023245735526008955;20.4801;172.9299;0.009671676240894165;14.59;0.61;0.0026065534764298666;0.00010897858948747215;0.009671676240894165;0.01021204046103932;0.61;0.047523999619808015
Column 1;3 x 3;9//104//11/(C);0.1067772695443207;0;0.0;176.21;0.024467660576059008;1914.4854;208.8284;0.10617860313025546;1.36;15.19;0.00024296865852944615;0.002713745531663446;0.10617860313025546;0.1067772695443207;15.19;1.1834254987293176
Column 1;3 x 3;9//104//12/(C);0.10835397912005024;0;0.0;179.3;0.024896722894769765;108.8534;2045.5672;0.10773413230915128;14.46;0.68;0.0025833285311292584;0.00012148432926472308;0.10773413230915128;0.10835397912005024;0.68;0.05297757334667123
Column 1;3 x 3;9//104//13/(C);0.10517705963907907;0;0.0;160.99;0.022354285659949718;1904.2113;189.081;0.10467734555171243;1.23;15.26;0.0002197437132288373;0.002726251271440697;0.10467734555171243;0.10517705963907907;15.26;1.1888790724561809
Column 1;3 x 3;9//104//14/(C);0.10675196067633318;0;0.0;164.08;0.022783347978660475;98.5793;2025.8199;0.10623287973121645;14.59;0.61;0.0026065534764298666;0.00010897858948747215;0.10623287973121645;0.10675196067633318;0.61;0.047523999619808015
Column 1;3 x 3;10//104//11/(C);0.1067218114120783;0;0.0;166.48;0.023116600265037757;1914.6624;208.828;0.10618743420426476;4.94;49.25;0.0008825479214231353;0.008798681200422957;0.10618743420426476;0.1067218114120783;49.25;3.836978657828762
